filename,label,R_100,R_150,R_200,G_150,G_200,B_150,B_200
pink (1).jpg,pink,0.1123046875,0.203125,0.5234375,0.7431640625,0.96875,0.6640625,0.978515625
pink (10).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (100).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1000).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1001).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1002).jpg,pink,0.1123046875,0.203125,0.5234375,0.7431640625,0.96875,0.6640625,0.978515625
pink (1003).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (1004).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1005).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1006).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1007).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1008).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1009).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (101).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1010).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1011).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1012).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (1013).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1014).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1015).jpg,pink,0.1123046875,0.203125,0.5234375,0.7431640625,0.96875,0.6640625,0.978515625
pink (1016).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (1017).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1018).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1019).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (102).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (1020).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1021).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1022).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (1023).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1024).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1025).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (1026).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1027).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1028).jpg,pink,0.1123046875,0.203125,0.5234375,0.7431640625,0.96875,0.6640625,0.978515625
pink (1029).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (103).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1030).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1031).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1032).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1033).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1034).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1035).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (1036).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1037).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1038).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (1039).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (104).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1040).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1041).jpg,pink,0.1123046875,0.203125,0.5234375,0.7431640625,0.96875,0.6640625,0.978515625
pink (1042).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (1043).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1044).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1045).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1046).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1047).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1048).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (1049).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (105).jpg,pink,0.1123046875,0.203125,0.5234375,0.7431640625,0.96875,0.6640625,0.978515625
pink (1050).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1051).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (1052).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1053).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1054).jpg,pink,0.1123046875,0.203125,0.5234375,0.7431640625,0.96875,0.6640625,0.978515625
pink (1055).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
pink (1056).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (1057).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1058).jpg,pink,0.25390625,0.3349609375,0.5185546875,0.5947265625,0.90625,0.4443359375,0.822265625
pink (1059).jpg,pink,0.1767578125,0.3095703125,0.5576171875,0.4404296875,0.806640625,0.451171875,0.80078125
pink (106).jpg,pink,0.2685546875,0.3837890625,0.578125,0.595703125,0.9013671875,0.533203125,0.8916015625
