pair,coord,delta,sigma,eps
blue vs brown,B_150,0.18473074776785714,0.18922343694802604,100.0
blue vs purple,R_150,0.26655273437499993,0.1707664791186691,100.0
blue vs red,R_150,0.2362060546875,0.15129884419828626,100.0
blue vs yellow,B_150,0.17839355468750007,0.18922343694802604,100.0
brown vs purple,B_150,0.19464285714285712,0.16574107007673344,100.0
brown vs red,R_200,0.16415550595238093,0.14676096933364463,100.0
brown vs yellow,R_200,0.07937476748511907,0.09580078113713417,100.0
purple vs red,B_150,0.19074707031250004,0.16574107007673344,100.0
purple vs yellow,R_150,0.25,0.1707664791186691,100.0
red vs yellow,R_200,0.2435302734375,0.14676096933364463,100.0
