A,B,mean_diff_pp,t,p,cohen_dz
raw,zscore,0.508409090909092,0.7301203611049092,0.4670408006074558,0.07301203611049092
minmax,raw,0.425681818181816,0.5681736024802868,0.571203556449371,0.05681736024802868
minmax,zscore,0.9340909090909081,2.3436502434658997,0.021094998981494587,0.23436502434658998
minmax,rank,-0.22022727272727266,-0.49538773777826195,0.621424266718897,-0.049538773777826194
minmax,quantile,-0.4927272727272727,-1.4184813572657973,0.15919065351726763,-0.14184813572657973
rank,raw,0.6459090909090887,0.8214126373333174,0.41338499698761044,0.08214126373333173
rank,zscore,1.1543181818181807,2.3360699790781845,0.021503962110301002,0.23360699790781844
quantile,raw,0.9184090909090886,1.250935042265882,0.21390641589364315,0.12509350422658821
quantile,zscore,1.4268181818181807,3.544391915819151,0.0006024960660201677,0.35443919158191506
quantile,rank,0.2725,1.0000000000000002,0.31974847413930163,0.10000000000000002
